序号,关键词,回复内容
1,-v,0.1.0
2,-h,The system is based on Microsoft uiautomation API
3,谢,不用谢
4,你好,您好
5,您好,您好
6,自选区内容,目前自选区可选货物包括物理近4年期中真题，数学近一年期中真题，线性代数第6、7次作业，物理第5、6、7章作业及答案，高数7、8、9阶段自测题，请假条。
7,位置,打印店总店位于b4-303，自选区和自提点均在总店门口，分店位于A6-430。
9,在哪里,打印店总店位于b4-303，自选区和自提点均在总店门口，分店位于A6-430。
10,送,对A5宿舍我们提供免费送货，送到楼下，其他宿舍如需送货且张数小于十张须额外加0.5元配送费。
11,价格,黑白A4普通纸打印价格为5张及以下0.2一张，5张以上部分0.1一张；彩色A4普通纸为3张及以下0.4一张，3张以上部分0.2一张；部分文件免费，如化学实验安全承诺书。如果不想自己计算，可以发送“张数+打印方式+？？？”，如“7黑白？？？”即为询问7张黑白价格。注意我们是按张数计费不是页数计费，所以请拿到印好的文件后再询问价格。
12,怎么收费,黑白A4普通纸打印价格为5张及以下0.2一张，5张以上部分0.1一张；彩色A4普通纸为3张及以下0.4一张，3张以上部分0.2一张；部分文件免费，如化学实验安全承诺书。如果不想自己计算，可以发送“张数+打印方式+？？？”，如“7黑白？？？”即为询问7张黑白价格。注意我们是按张数计费不是页数计费，所以请拿到印好的文件后再询问价格。
13,图纸,工程图纸0.7一张，需送货请发送“帮助”了解更多。
14,还有吗,目前工程图纸还有。自选区可选货物包括物理近4年期中真题，数学近一年期中真题，线性代数第6、7次作业，物理第5、6、7章作业及答案，高数7、8、9阶段自测题，请假条，可以直接来取。其余须现打。
15,多少钱,询问图纸价格请发送“图纸”，询问打印价格请发送“价格”。
16,a3,A3无法直接打印，只能间接打印。若购买白纸，0.2元一张。